company_id,name,estab_year,employees_count
0,Cogoport,2016,200 - 500 employees
1,Hubilo,2015,50 - 200 employees
2,RingCentral,2003,More than 1000 employees
3,SquadStack,2014,50 - 200 employees
4,Thence,2012,50 - 200 employees
5,Zenda,2021,10 - 50 employees
6,ZoomInfo,2000,More than 1000 employees
7,LTIMindtree,1996,More than 1000 employees
8,mPokket,2016,More than 1000 employees
9,Open Financial Technologies,2017,200 - 500 employees
10,Piramal Capital & Housing Finance,2017,10 - 50 employees
11,Upstox,2010,200 - 500 employees
12,Docsumo,2018,10 - 50 employees
13,Hugosave,2019,10 - 50 employees
14,Leena AI,2015,200 - 500 employees
15,Infosys,1981,More than 1000 employees
16,Bright Money,2019,50 - 200 employees
17,CS Soft Solutions,2009,200 - 500 employees
18,Dibber,2003,More than 1000 employees
19,Money View,2014,200 - 500 employees
20,Neotas,2015,50 - 200 employees
21,Ripplr,2019,50 - 200 employees
22,StanceBeam,2017,10 - 50 employees
23,Supplynote,2015,10 - 50 employees
24,Verizon Communications,1983,More than 1000 employees
25,abCoffee,2022,0 - 10 employees
26,FedEx,1973,More than 1000 employees
27,Flash,2022,10 - 50 employees
28,GlobalLogic,2000,More than 1000 employees
29,Mystifly,2009,200 - 500 employees
30,Rently,2013,50 - 200 employees
31,Ximkart,2021,10 - 50 employees
32,Aura Cloud,2019,10 - 50 employees
33,Avataar,2014,200 - 500 employees
34,Hogar Controls,2012,10 - 50 employees
35,IBM,1911,More than 1000 employees
36,Pearl Academy,1993,200 - 500 employees
37,Quotient Technology,1998,500 - 1000 employees
38,ReachLocal India,2004,500 - 1000 employees
39,SatSure,2017,50 - 200 employees
40,Swimlane,2014,200 - 500 employees
41,Tech Mahindra,1986,More than 1000 employees
42,Kotak Mahindra Bank,1985,More than 1000 employees
43,PhysicsWallah,2014,More than 1000 employees
44,SmartCoin,2016,50 - 200 employees
45,CASHe,2016,200 - 500 employees
46,Covvalent,2022,10 - 50 employees
47,Equentis,2015,50 - 200 employees
48,Lululemon,1998,More than 1000 employees
49,RupiCard,2022,0 - 10 employees
50,TJX,1987,More than 1000 employees
51,Tromenz Learning,2008,50 - 200 employees
52,UNext Learning,2020,500 - 1000 employees
53,Avaamo,2014,50 - 200 employees
54,dataFloat,2000,200 - 500 employees
55,GrayMatter Software Services,2006,200 - 500 employees
56,Mantys,2022,0 - 10 employees
57,NdimensionZ Solutions,2007,200 - 500 employees
58,PearlArc Systems,2014,10 - 50 employees
59,Avis Budget Group,1946,More than 1000 employees
60,Bajaj Finserv,2007,More than 1000 employees
61,E2 Software,2022,0 - 10 employees
62,OppDoor,2023,0 - 10 employees
63,Out of the Blue,2020,0 - 10 employees
64,Owens & Minor,1882,More than 1000 employees
65,Apexon,1996,More than 1000 employees
66,CreditVidya,2013,50 - 200 employees
67,Gumlet,2019,10 - 50 employees
68,Leewayhertz Technologies,2007,50 - 200 employees
69,Uptycs,2016,10 - 50 employees
70,Able Jobs,2019,10 - 50 employees
71,Acko,2017,500 - 1000 employees
72,CaaStle,2012,200 - 500 employees
73,Colmore,2017,50 - 200 employees
74,DeNovo Systems,2014,10 - 50 employees
75,JumpingMinds,2020,0 - 10 employees
76,Prominance Window Systems,2015,200 - 500 employees
77,The Ageless Clinic,2011,500 - 1000 employees
78,Adobe,1982,More than 1000 employees
79,Jumbotail,2015,200 - 500 employees
80,The Famous,2021,0 - 10 employees
81,Trustt,2014,200 - 500 employees
82,Accenture,1989,More than 1000 employees
83,Anko,2018,200 - 500 employees
84,Delta Air Lines,1928,More than 1000 employees
85,Digit88 Technologies,2014,50 - 200 employees
86,LenDenClub,2014,10 - 50 employees
87,W Energy Software,2009,50 - 200 employees
88,Zoho Corporation,1996,More than 1000 employees
89,Alaan,2021,10 - 50 employees
90,Aura Egaming,2021,10 - 50 employees
91,CashKaro.com,2012,50 - 200 employees
92,DocuSign,2003,More than 1000 employees
93,3Frames Lab,2010,10 - 50 employees
94,JUSPAY,2013,10 - 50 employees
95,Agivant Technologies,2023,10 - 50 employees
96,Loktantra Mediatech,2021,10 - 50 employees
97,NexTurn,2021,50 - 200 employees
98,Rippl,2021,0 - 10 employees
99,WonDRx,2018,10 - 50 employees
100,Absolutdata Analytics,2001,200 - 500 employees
101,Chargeup,2019,10 - 50 employees
102,Deqode,2012,200 - 500 employees
103,Nab,1981,More than 1000 employees
104,Sagarsoft,1996,200 - 500 employees
105,Transmission,2013,200 - 500 employees
106,Concentrix,1983,More than 1000 employees
107,ED and F Man,1783,More than 1000 employees
108,FarMart,2015,More than 1000 employees
109,GoodworkLabs,2013,50 - 200 employees
110,Quick Visa Solutions,2015,10 - 50 employees
111,ResMed,1989,More than 1000 employees
112,Scaler Academy,2019,50 - 200 employees
113,Wint Wealth,2020,10 - 50 employees
